,unlist.var_labels.
mins2h_6,mother 120 min insulin (mu/l) at 6y
mb12_6yr,mother Vitamin B12 (pM) at 6y
msfol_6yr,mother Plasma Folate (nM) at 6y
mhcy_6yr,mother Total Homocysteine (micromol/L) on Architet machine at 6y
mhcy_comm_6yr,mother any comment on homocysteine at 6y
fintocu,father occupation at 12y
d3,mother date of followup at 34wks
fbptm_i,father blood pressure timing at 12y
fbptmp_i,room temparature(oc) during fathers blood pressure at 12y
fsys1_i,father syst bp (mmhg) 1st reading at 12y
fsys_i,father syst bp (mmhg) 2nd reading at 12y
f0_f_sys_bp_12,father systolic blood pressure at 12y
fdia1_i,father diast bp(mmhg)1st reading at 12y
fdia_i,father diast bp(mmhg) 2nd reading at 12y
f0_f_dia_bp_12,father systolic blood pressure at 12y
fpul1_i,father pulse (/min)1st reading at 12y
fpul_i,father pulse (/min)2nd reading at 12y
f0_f_pulse_12,father pulse pressure at 12y
rx_y,combine the group1 and  group3 intervention group
g1_bw,f2 child birth weight
delta_ges_age,delta birth weight (f2-f1 child)
Nsliscor,Percentile Group of sli score 6y
child_no,f2 child unique identity key
reason,reason for offspring death
cfn,childs first name ( recorded at 6y)
mfn,pmns mothers first name (recorded at 6y)
ffn,pmns fathers first name (recorded at 6y)
fsn,pmns family name (recorded at 6y)
fmn,pmns fathers middle name (recorded at 6y)
cup_number,couple number
age_old_file,mother age (from old file) at baseline
derived_birthdate,mother date of birth
f0_age_int,father age at baseline
finalen,final enrollment (n=797)
del_no,delivery number
dosurvey,date of prepreg anthro
visit_date,mother visit date
name_fir,first name of the women (pmns)
name_mid,middle name of the women (pmns)
name_sur,surname of the women (pmns)
dupen,duplicate enrollment (subject enrolled twice in pmns)
tph,thrifty phenotype sample (n=631)
matmet,filter for maternal metabolism paper (n=700)
sample,sample of interest (n=702 deliveries with bw)
alldel,all deliveries (n=779/814)
alllidel,all live deliveries (n=771/814)
finaldel,final deliveries(n=770/797 the final enrollment)
finallivedel,final live deliveries(n=762/797 the final enrollment)
ft,full term delivery with known bw (n=633)
fin_stat,final status
mstatus,mother status
prevcs,preveous ceaser
primcs,primcs
wom_edun,maternal education in years
hus_edun,husband education in years
relg,religon
anom,any anomalies in pregnancy?
anomspec,Anomaly spec
agemarr,age at marriage in years
lmp,LMP
ulmp,LMP based on usg
lmpdiff,Difference between lmp & ulmp
mar_rel,married to close relative?
vom1,vomiitng for a week before 1st vis?
head,Head circumference of the women (cm)
tr,Triceps skinfold during final prepregnant anthro (cm)
bi,Biceps skinfold during final prepregnant anthro (mm)
ss,Subscapular skinfold during final prepregnant anthro (mm)
su,Suprailliac skinfold during final prepregnant anthro (mm)
ma,Midarm circumference during final prepregnant anthro (cm)
hb,Final prepregnant Hb value-filter paper (gm%)
gl1,Gestation based on LMP at 1 st visit
gf1,Gestation based on Final LMP at 1 st visit
gu1,Gestation based on sonographic LMP at 1st visit
pulsea1,1st pulse recorded on 1st visit (/min)
pulseb1,2nd pulse recorded on 1st visit (/min)
f0_m_pulse_18wks,mean pulse
sya1,1st systolic BP on 1st visit (mmHg)
syb1,2nd systolic BP on 1st visit (mmHg)
f0_m_sysbp_18wks,mean sys bp 18wks
dia1,1st diastolic BP on 1st visit (mmHg)
dib1,2nd diastolic BP on 1st visit (mmHg)
f0_m_diabp_18wks,mean dias bp 18wks
mapa1,1st Mean AP on 1st visit (mmHg)
mapb1,2nd Mean AP on 1st visit (mmHg)
fh1,Fundal height during  1st visit (cm)
ag1,Abdominal circumference on 1st visit (cm)
tr1,Triceps skinfold during 1st visit (mm)
bi1,Biceps skinfold during 1st visit (mm)
ss1,Subscapular skinfold during 1st visit (mm)
su1,Suprailliac skinfold during 1st visit (mm)
ma1,Midarm circumference during 1st visit (cm)
gl2,Gestation based on LMP at 2nd visit
gf2,Gestation based on Final LMP at 2nd visit
gu2,Gestation based on sonographic LMP at 2nd visit
pulsea2,1st pulse recorded on 2nd visit (/min)
pulseb2,2nd pulse recorded on 2nd visit (/min)
f0_m_pulse_28wks,mean
sya2,1st systolic BP on 2nd visit (mmHg)
syb2,2nd systolic BP on 2nd visit (mmHg)
f0_m_sysbp_28wks,mean
dia2,1st diastolic BP on 2nd visit (mmHg)
dib2,2nd diastolic BP on 2nd visit (mmhg)
f0_m_diabp_28wks,mean
mapa2,1st Mean AP on 2nd visit (mmHg)
mapb2,2nd Mean AP on 2nd visit (mmHg)
fh2,Fundal height during 2nd visit (cm)
ag2,Abdominal circumference on 2nd visit (cm)
tr2,Triceps skinfold during 2nd visit (mm)
bi2,Biceps skinfold during 2nd visit (mm)
ss2,Subscapular skinfold during 2nd visit (mm)
su2,Suprailliac skinfold during 2nd visit  (mm)
ma2,Midarm circumference during 2nd visit (cm)
gl3,Gestation based on LMP at 3rd visit
gf3,Gestation based on Final LMP at 3rd visit
gu3,Gestation based on sonographic LMP at 3rd visit
pulsea3,1st pulse recorded on 3rd visit (/min)
pulseb3,2nd pulse recorded on 3rd visit (/min)
sya3,1st systolic BP on 3rd visit (mmHg)
dia3,1st diastolic BP on 3rd visit (mmHg)
syb3,2nd systolic BP on 3rd visit (mmHg)
dib3,2nd diastolic BP on 3rd visit (mmHg)
mapa3,1st Mean AP on 3rd visit (mmHg)
mapb3,2nd Mean AP on 3rd visit (mmHg)
fh3,Fundal height during 3rd visit (cm)
ag3,Abdominal circumference on 3rd visit (cm)
tr3,Triceps skinfold during 3rd visit (mm)
bi3,Biceps skinfold during 3rd visit  (mm)
ss3,Subscapular skinfold during 3rd visit  (mm)
su3,Suprailliac skinfold during 3rd visit  (mm)
ma3,Midarm circumference during 3rd visit  (cm)
bpd1,Biparietal diameter measured during 1st USG (cm)
hc1,Head circumference measured during 1st USG ((cm)
ac1,Abdominal circumference measured during 1st USG (cm)
fl1,Femur length measured during 1st USG (cm)
liquor1,Liquor at 1st visit
placpos1,Placental position 1st visit
volume,Placental volume measured during 1st USG (ml)
len,Placental length measured during 1st USG (cm)
thick1,Placental thickness measured during 1st USG (cm)
cereb1,Cerebellum measured during 1st USG
g1,Sonographic age at 1st USG
bpd2,Biparietal diameter measured during 2nd USG (cm)
hc2,Head circumference measured during 2nd USG  (cm)
ac2,Abdominal circumference measured during 2nd USG (cm)
liquor,Liquor
fl2,Femur length measured during 2nd USG  (cm)
placpos2,Placental position 2nd visit
thick2,Placental thickness measured during 2nd USG (cm)
lk2,Length of the left kidney at 2nd USG
rk2,Length of the right kidney at 2nd USG
abdw2,Abdominal wall thickness during 2nd USG
cereb2,Cerebellum measured during 2nd USG
lap2,AP section of liver measured during 2nd visit
ltr2,TR section of liver measured during 2nd visit
lcc2,CC section of liver measured during 2nd visit
g2,Sonographic age at 2nd USG
bpd3,Biparietal diameter measured during 3rd USG (cm)
hc3,Head circumference measured during 3rd USG (cm)
ac3,Abdominal circumference measured during 3rd USG (cm)
fl3,Femur length measured during 3rd USG  (cm)
liquor3,Liquor
placpos3,Placental position 3rd visit  (cm)
thick3,Placental thickness measured during 3rd USG
lk3,Length of the left kidney during 3rd USG
rk3,Length of the right kidney during 3rd USG
abdw3,Abdominal wall thickness during 3rd USG
lap3,AP section of liver measured during 3rd visit
ltr3,TR section of liver measured during 3rd visit
lcc3,CC section of liver measured during 3rd visit
g3,Sonographic age at 3RD USG
fwt,Final weight closest to delivery
dfwt,Date of final weight
gufwt,Gestation during final weight based on USG
glfwt,Gestation during final weight based on LMP
gffwt,Gestation during final weight based on final LMP
gld,Gestation at delivery based on LMP
gfd,Gestation at delivery based on final LMP
gud,Gestation at delivery based on sonographic LMP
monthdel,Month of delivery
daydel,Day of delivery
westastr,Western zodiac sign
del_plac,Place of delivery
attenden,Attendent at the delivery
wtanm,Weight recorded by ANM
placwtan,Placental weight recorded by ANM (gm)
wtn,Weight of the newborn (gm)
length,Length of the newborn (cm)
hcn,Head circumference of the newborn (cm)
chn,Chest circumference of the newborn (cm)
abdn,Abdominal circumference of the newborn (cm)
man,Midarm circumference of the newborn (cm)
trn,Triceps skinfold of the newborn (mm)
ssn,Subscapular skinfold of the newborn (mm)
foot,Foot length of the newborn (cm)
wtd,Weight of the women after delivery (kg)
hblood_g,Husbands blood group
sestatus,Socioeconomic status (Parek & Trivedi)
chb,coulter adjusted prepreg hb
pondi,ponderal index of the newborn (kg/m3)
fatmass,prepreg fat mass by durnins equation (kg)
lbmass,prepreg lean body mass by durnins equation (kg)
fatmass1,1 st vis fat mass by durnins equation (kg)
lbmass1,1st vis lean body mass by durnins equation (kg)
fatmass2,2nd vis fat mass by durnins equation (kg)
lbmass2,2nd vis lean body mass by durnins equation (kg)
fatmass3,3rd vis fat mass by durnins equation (kg)
lbmass3,3rd vis lean body mass by durnins equation (kg)
mumass,pre preg muscle mass  by durnins equation (kg)
mumass1,1st visit muscle mass (kg) (muac tricep formulae)
mumass2,2nd visit  muscle mass  (kg) (muac tricep formulae)
mumass3,3rd visit  muscle mass (kg) (muac tricep formulae)
ind1,date of 1st intake visit
ind2,date of 2nd intake visit
ind3,date of 3rd intake visit
visseas1,season of 1st 24 hr recall visit
visseas2,season of 2nd 24 hr recall visit
visseas3,season of 3rd 24 hr recall visit
totcal1,total calorie intake on 1st visit (kcal)
totcal2,total calorie intake on 2nd visit (kcal)
totcal3,total calorie intake on 3rd visit (kcal)
totpro1,total protein intake on 1st visit (gm)
totpro2,total protein intake on 2nd visit (gm)
totpro3,total protein intake on 3rd visit (gm)
totfat1,total fat intake on 1st visit (gm)
totfat2,total fat intake on 2nd visit (gm)
totfat3,total fat intake on 3rd visit (gm)
totiron1,total iron intake on 1st visit (gm)
totiron2,total iron intake on 2nd visit (gm)
totiron3,total iron intake on 3rd visit (gm)
totcarb1,total carbohydrate intake on 1st visit (gm)
totcarb2,total carbohydrate intake on 2nd visit (gm)
totcarb3,total carbohydrate intake on 3rd visit (gm)
calcer1,calories from cerials on 1st visit
calcer2,calories from cerials on 2nd visit
calcer3,calories from cerials on 3rd visit
procer1,proteins from cerials on 1st visit
procer2,proteins from cerials on 2nd visit
procer3,proteins from cerials on 3rd visit
fatcer1,fats from cerials on 1st visit
fatcer2,fats from cerials on 2nd visit
fatcer3,fats from cerials on 1st visit
ironcer1,iron from cerials on 1st visit
ironcer2,iron from cerials on 2nd visit
ironcer3,iron from cerials on 3rd visit
calpul1,calories from pulses on 1st visit
calpul2,calories from pulses on 2nd visit
calpul3,calories from pulses on 3rd visit
propul1,proteins from pulses on 1st visit
propul2,proteins from pulses on 2nd visit
propul3,proteins from pulses on 3rd visit
fatpul1,proteins from pulses on 1st visit
fatpul2,proteins from pulses on 2nd visit
fatpul3,proteins from pulses on 3rd visit
ironpul1,iron from pulses on 1st visit
ironpul2,iron from pulses on 2nd visit
ironpul3,iron from pulses on 2nd visit
calglv1,calories from glv on 1st visit
calglv2,calories from glv on 2nd visit
calglv3,calories from glv on 3rd visit
proglv1,proteins from glv on 1st visit
proglv2,proteins from glv on 2nd visit
proglv3,proteins from glv on 3rd visit
fatglv1,fats from glv on 1st visit
fatglv2,fats from glv on 2nd visit
fatglv3,fats from glv on 3rd visit
ironglv1,iron from glv on 1st visit
ironglv2,iron from glv on 2nd visit
ironglv3,iron from glv on 3rd visit
calfveg1,calores from fruit vegetables on 1st visit
calfveg2,calores from fruit vegetables on 2nd visit
calfveg3,calores from fruit vegetables on 3rd visit
profveg1,proteins from fruit vegetables on 1st visit
profveg2,proteins from fruit vegetables on 2nd visit
profveg3,proteins from fruit vegetables on 3rd visit
fatfveg1,fats from fruit vegetables on 1st visit
fatfveg2,fats from fruit vegetables on 2nd visit
fatfveg3,fats from fruit vegetables on 3rd visit
ironfve1,iron from fruit vegetables on 1st visit
ironfve2,iron from fruit vegetables on 2nd visit
ironfve3,iron from fruit vegetables on 3rd visit
calch1,calories from chutney on 1st visit
calch2,calories from chutney on 2nd visit
calch3,calories from chutney on 3rd visit
proch1,proteins from chutney on 1st visit
proch2,proteins from chutney on 2nd visit
proch3,proteins from chutney on 3rd visit
fatch1,fats from chutney on 1st visit
fatch2,fats from chutney on 2nd visit
fatch3,fats from chutney on 3rd visit
ironch1,iron from chutney on 1st visit
ironch2,iron from chutney on 2nd visit
ironch3,iron from chutney on 3rd visit
calfru1,calories from fruits on 1st visit
calfru2,calories from fruits on 2nd visit
calfru3,calories from fruits on 3rd visit
profru1,proteins from fruits on 1st visit
profru2,proteins from fruits on 2nd visit
profru3,proteins from fruits on 3rd visit
fatfru1,fats from fruits on 1st visit
fatfru2,fats from fruits on 2nd visit
fatfru3,fats from fruits on 3rd visit
ironfru1,iron from fruits on 1st visit
ironfru2,iron from fruits on 2nd visit
ironfru3,iron from fruits on 3rd visit
calfes1,calories from festival foods on 1st visit
calfes2,calories from festival foods on 2nd visit
calfes3,calories from festival foods on 3rd visit
profes1,proteins from festival foods on 1st visit
profes2,proteins from festival foods on 2nd visit
profes3,proteins from festival foods on 3rd visit
fatfes1,fats from festival foods on 1st visit
fatfes2,fats from festival foods on 2nd visit
fatfes3,fats from festival foods on 3rd visit
ironfes1,iron from festival foods on 1st visit
ironfes2,iron from festival foods on 2nd visit
ironfes3,iron from festival foods on 3rd visit
calbev1,calories from beverages on 1st visit(tea & coffe only)
calbev2,calories from beverages on 2nd visit(tea & coffe only)
calbev3,calories from beverages on 3rd visit(tea & coffe only)
probev1,proteins from beverages on 1st visit(tea & coffe only)
probev2,proteins from beverages on 2nd visit(tea & coffe only)
probev3,proteins from beverages on 3rd visit(tea & coffe only)
fatbev1,fats from beverages on 1st visit(tea & coffe only)
fatbev2,fats from beverages on 2nd visit(tea & coffe only)
fatbev3,fats from beverages on 3rd visit(tea & coffe only)
ironbev1,iron from beverages on 1st visit(tea & coffe only)
ironbev2,iron from beverages on 2nd visit(tea & coffe only)
ironbev3,iron from beverages on 3rd visit(tea & coffe only)
caldai1,calories from dairy products on 1st visit(milk and milk prod
caldai2,calories from dairy products on 2nd visit(milk and milk prod
caldai3,calories from dairy products on 3rd visit(milk and milk prod
prodai1,proteins from dairy products on 1st visit(milk and milk prod
prodai2,proteins from dairy products on 2nd visit(milk and milk prod
prodai3,proteins from dairy products on 3rd visit(milk and milk prod
fatdai1,fats from dairy products on 1st visit(milk and milk products
fatdai2,fats from dairy products on 2nd visit(milk and milk products
fatdai3,fats from dairy products on 3rd visit(milk and milk products
irondai1,iron from dairy products on 1st visit(milk and milk products
irondai2,iron from dairy products on 2nd visit(milk and milk products
irondai3,iron from dairy products on 3rd visit(milk and milk products
btcal1,calories during breakfast at 1st visit
btcal2,calories during breakfast at 2nd visit
btcal3,calories during breakfast at 3rd visit
btpro1,proteins during breakfast at 1st visit
btpro2,proteins during breakfast at 2nd visit
btpro3,proteins during breakfast at 3rd visit
btfat1,fats during breakfast at 1st visit
btfat2,fats during breakfast at 2nd visit
btfat3,fats during breakfast at 3rd visit
btiron1,iron during breakfast at 1st visit
btiron2,iron during breakfast at 2nd visit
btiron3,iron during breakfast at 3rd visit
ltcal1,calories during lunch at 1st visit
ltcal2,calories during lunch at 2nd visit
ltcal3,calories during lunch at 3rd visit
ltpro1,proteins during lunch at 1st visit
ltpro2,proteins during lunch at 2nd visit
ltpro3,proteins during lunch at 3rd visit
ltfat1,fats during lunch at 1st visit
ltfat2,fats during lunch at 2nd visit
ltfat3,fats during lunch at 3rd visit
ltiron1,iron during lunch at 1st visit
ltiron2,iron during lunch at 2nd visit
ltiron3,iron during lunch at 3rd visit
dtcal1,calories during dinner at 1st visit
dtcal2,calories during dinner at 2nd visit
dtcal3,calories during dinner at 3rd visit
dtpro1,proteins during dinner at 1st visit
dtpro2,proteins during dinner at 2nd visit
dtpro3,proteins during dinner at 3rd visit
dtfat1,fats during dinner at 1st visit
dtfat2,fats during dinner at 2nd visit
dtfat3,fats during dinner at 3rd visit
dtiron1,iron during dinner at 1st visit
dtiron2,iron during dinner at 2nd visit
dtiron3,iron during dinner at 3rd visit
apro1,animal proteins during 1st visit (without tea & coffee)
apro2,animal proteins during 2nd visit (without tea & coffee)
apro3,animal proteins during 3rd visit (without tea & coffee)
teapro1,animals proteins thru tea & coffee 1st visit
teapro2,animals proteins thru tea & coffee 2nd visit
teapro3,animals proteins thru tea & coffee 3rd visit
rcal1,calories consumed from roties on 1st visit
rcal2,calories consumed from roties on 2nd visit
rcal3,calories consumed from roties on 3rd visit
rpro1,proteins consumed from roties on 1st visit
rpro2,proteins consumed from roties on 2nd visit
rpro3,proteins consumed from roties on 3rd visit
riron1,iron consumed from roties on 1st visit
riron2,iron consumed from roties on 2nd visit
riron3,iron consumed from roties on 3rd visit
rfat1,fats consumed from roties on 1st visit
rfat2,fats consumed from roties on 2nd visit
rfat3,fats consumed from roties on 3rd visit
rcarb1,carbohydrates consumed from roties on 1st visit
rcarb2,carbohydrates consumed from roties on 2nd visit
rcarb3,carbohydrates consumed from roties on 3rd visit
stp1,no of times staple food consumed in a day on 1st visit
stp2,no of times staple food consumed in a day on 2nd visit
stp3,no of times staple food consumed in a day on 3rd visit
cit1,no of times citrus fruits consumed in a day on 1st visit
cit2,no of times citrus fruits consumed in a day on 2nd visit
cit3,no of times citrus fruits consumed in a day on 3rd visit
gveg1,no of times glv consumed in a day on 1st visit
gveg2,no of times glv consumed in a day on 2nd visit
gveg3,no of times glv consumed in a day on 3rd visit
nveg1,no of times non veg items consumed in a day on 1st visit
nveg2,no of times non veg fruits consumed in a day on 2nd visit
nveg3,no of times non veg fruits consumed in a day on 3rd visit
puls1,no of times pulses eaten in a day on 1st visit
puls2,no of times pulses eaten in a day on 2nd visit
puls3,no of times pulses eaten in a day on 3rd visit
fru1,no of times fruits eaten in a day on 1st visit
fru2,no of times fruits eaten in a day on 2nd visit
fru3,no of times fruits eaten in a day on 3rd visit
milk1,no of times milk consumed in a day on 1st visit
milk2,no of times milk consumed in a day on 2nd visit
milk3,no of times milk consumed in a day on 3rd visit
bct1,no of times roties eaten in a day on 1st visit
bct2,no of times roties eaten in a day on 2nd visit
bct3,no of times roties eaten in a day on 3rd visit
act1,no of times rice eaten in a day on 1st visit
act2,no of times rice eaten in a day on 2nd visit
act3,no of times rice eaten in a day on 3rd visit
ffd1,date of ffq - 1st visit
ffd2,date of ffq - 2nd visit
ffd3,date of ffq - 3rd visit
ffqseas1,ffq season 1st visit
seasffq1,ffq season 1st visit numeric
ffqseas2,ffq season 2nd visit
seasffq2,ffq season 2nd visit numeric
ffqseas3,ffq season 3rd visit
seasffq3,ffq season 3rd visit numeric
asc1,beverage consumption score 1st visit
asc2,beverage consumption score 2nd visit
asc3,beverage consumption score 3rd visit
bsc1,roti consumption score 1st visit
bsc2,roti consumption score 2nd visit
bsc3,roti consumption score 3rd visit
csc1,rice consumption score 1st visit
csc2,rice consumption score 2nd visit
csc3,rice consumption score 3rd visit
dsc1,dal consumption score 1st visit
dsc2,dal consumption score 2nd visit
dsc3,dal consumption score 3rd visit
esc1,legume consumption score 1st visit
esc2,legume consumption score 2nd visit
esc3,legume consumption score 3rd visit
fsc1,fruit vegetable consumption score 1st visit
fsc2,fruit vegetable consumption score 2nd visit
fsc3,fruit vegetable consumption score 3rd visit
gsc1,glv consumption score 1st visit
gsc2,glv consumption score 2nd visit
gsc3,glv consumption score 3rd visit
hsc1,chutney consumption score 1st visit
hsc2,chutney consumption score 2nd visit
hsc3,chutney consumption score 3rd visit
isc1,fasting foods consumption score 1st visit
isc2,fasting foods consumption score 2nd visit
isc3,fasting foods consumption score 3rd visit
jsc1,fruit consumption score 1st visit
jsc2,fruit consumption score 2nd visit
jsc3,fruit consumption score 3rd visit
ksc1,non veg consumption score 1st visit
ksc2,non veg consumption score 2nd visit
ksc3,non veg consumption score 3rd visit
nonveg1,stratified non veg consumption on first visit
nonveg2,stratified non veg consumption on second visit
fishcons1,stratified fish consumption on first visit
fishcons2,stratified fish consumption on second visit
fishcons3,stratified fish consumption on third visit
lsc1,milk products consumption score 1st visit
lsc2,milk products consumption score 2nd visit
lsc3,milk products consumption score 3rd visit
msc1,bakery items  consumption score 1st visit
msc2,bakery items  consumption score 2nd visit
msc3,bakery items  consumption score 3rd visit
nsc1,spicy snacks consumption score 1st visit
nsc2,spicy snacks consumption score 2nd visit
nsc3,spicy snacks consumption score 3rd visit
osc1,sweet snacks consumption score 1st visit
osc2,sweet snacks consumption score 2nd visit
osc3,sweet snacks consumption score 3rd visit
psc1,festival foods consumption score 1st visit
psc2,festival foods consumption score 2nd visit
psc3,festival foods consumption score 3rd visit
qsc1,special foods consumption score 1st visit
qsc2,special foods consumption score 2nd visit
qsc3,special foods consumption score 3rd visit
dairy1,dairy products consumption score 1st visit
dairy2,dairy products consumption score 2nd visit
dairy3,dairy products consumption score 3rd visit
c2_31,"spicy rice consumption  c1,c2 masala, phodni on 1st visit"
c2_32,"spicy rice consumption  c1,c2 masala, phodni on 2nd visit"
c2_33,"spicy rice consumption  c1,c2 masala, phodni on 3rd visit"
dnot7111,dal consumption score execept besan & kadhi on 1st visit
dnot7112,dal consumption score execept besan & kadhi on 2nd visit
dnot7113,dal consumption score execept besan & kadhi on 3rd visit
f6_91,"cluster bean & cabage f6, f9 consumption score on 1st visit"
f6_92,"cluster bean & cabage f6, f9 consumption score on 2nd visit"
f6_93,"cluster bean & cabage f6, f9 consumption score on 3rd visit"
fnot6_91,fruit vegetable consumption score except cabbage & cluster beans on 1st visit
fnot6_92,fruit vegetable consumption score except cabbage & cluster beans on 2nd visit
fnot6_93,fruit vegetable consumption score except cabbage & cluster beans on 3rd visit
g136791,"glv consumption score items g1,g3,g6,g7,g9 on 1st visit"
g136792,"glv consumption score items g1,g3,g6,g7,g9 on 2nd visit"
g136793,"glv consumption score items g1,g3,g6,g7,g9 on 3rd visit"
h2_3_41,"chutney consumption score of items h2,h3,h4 on 1st visit"
h2_3_42,"chutney consumption score of items h2,h3,h4 on 2nd visit"
h2_3_43,"chutney consumption score of items h2,h3,h4 on 3rd visit"
citrus1,"citrus friut consumption scire j1,j2,j3,j4 on 1st visit"
citrus2,"citrus friut consumption scire j1,j2,j3,j4 on 2nd visit"
citrus3,"citrus friut consumption scire j1,j2,j3,j4 on 3rd visit"
m4_51,"bakery product cobumption score of items m4,m5 on 1st visit"
m4_52,"bakery product cobumption score of items m4,m5 on 2nd visit"
m4_53,"bakery product cobumption score of items m4,m5 on 3rd visit"
n1_2_31,"sum of score for spicy snack items n1,n2,n3 sanja,pohe,bhaji on 1st visit"
n1_2_32,"sum of score for spicy snack items n1,n2,n3 sanja,pohe,bhaji on 2nd visit"
n1_2_33,"sum of score for spicy snack items n1,n2,n3 sanja,pohe,bhaji on 3rd visit"
n4_5_61,"sum of score for spicy snack items n4,n5,n6 bhel,pharsan,batata wada on 1st visit"
n4_5_62,"sum of score for spicy snack items n4,n5,n6 bhel,pharsan,batata wada on 2nd visit"
n4_5_63,"sum of score for spicy snack items n4,n5,n6 bhel,pharsan,batata wada on 3rd visit"
snacks1,"snacks consumption score on 1st visit n,o,p,q spicy,sweet,fest,special"
snacks2,"snacks consumption score on 2nd visit n,o,p,q spicy,sweet,fest,special"
snacks3,"snacks consumption score on 3rd visit n,o,p,q spicy,sweet,fest,special"
wld1,date of workload survey - 1st visit
wld2,date of workload survey - 2nd visit
wld3,date of workload survey - 3rd visit
resc1,resting score - 1st visit
resc2,resting score - 2nd visit
resc3,resting score - 3rd visit
dosc1,domestic score - 1st visit
dosc2,domestic score - 2nd visit
dosc3,domestic score - 3rd visit
ofsc1,farm work score - 1st visit
ofsc2,farm work score - 2nd visit
ofsc3,farm work score - 3rd visit
farm1,work on farm?-visit1
farm2,work on farm?-visit-2
totsc1,total activity score - 1st visit
totsc2,total activity score - 2nd visit
totsc3,total activity score - 3rd visit
meat1,"meat sconsumption score k1,k2 chicken & mutton on 1st visit"
meat2,"meat sconsumption score k1,k2 chicken & mutton on 2nd visit"
meat3,"meat sconsumption score k1,k2 chicken & mutton on 3rd visit"
fish1,"fish consumption score k4,k5 bombil & fish on 1st visit"
fish2,"fish consumption score k4,k5 bombil & fish on 2nd visit"
fish3,"fish consumption score k4,k5 bombil & fish on 3rd visit"
glv1,glv consumption 1st visit
glv2,glv consumption 2nd visit
glv3,glv consumption 3rd visit
calpro1,proteins as % of calories 1st visit
calpro2,proteins as % of calories 2nd visit
calpro3,proteins as % calories 3rd visit
calfat1,fats as % of calories 1st visit
calfat2,fats as % calories 2nd visit
calfat3,fats as % caories 3rd visit
calcarb1,carbohyd as % calores 1st visit
calcarb2,carbohy as % calories 2nd visit
calcarb3,carboh as as % of calories 3rd visit
paragp,Parity groups
nssn,Normalized neonatal subscapular (logged)
ntrn,Normalized neonatal tricep (logged)
ntr,Normalized mat prepreg tricep (logged)
nss,Normalized mat prepreg subscapular (logged)
ndairy1,no of times dairy items consumed on 1st vis
ndairy2,no of times dairy items consumed on 2nd vis
ndairy3,no of times dairy items consumed on 3rd vis
sstrn,ss/tr ratio for newborn
sstr,prepreg maternal ss/tr ratio
nsstr,normalized prepreg ss/tr (logged)
nsstrn,normalized  neonatal ss/tr (logged)
dry1,dairy consumption on 1st visit
dry2,dairy items consumption on 2nd visit
dry3,dairy items consuption on 3rd visit
frut1,fruit consumption 1st visit
frut2,fruit consumption 2nd visit
frut3,fruit consumption 3rd visit
nfer1,Normalized ferritin at 16 wks (logged)
nfer2,Normalized ferritin at 28 wks (logged)
nnefa1,Normalized nefa at 16 wks
nnefa2,Normalized nefa at 28 wks
nmalb1,Normalized micro albumen at 16 wks
nmalb2,Normalized micro albumen at 28 wks
ncreat1,Normalized s creat at 16 wks
ncreat2,normalized s creat at 28 wks
w1,Weight gain at 16 wks (kg)
w2,Weight gain at 28 wks (kg)
w3,Weight gain at 34 wks (kg)
bwkg,Birthweight in Kg
ldlchol2,ldl cholesterol at 28 wks (using Friewalds)
ldlchol1,ldl cholesterol at 16 wks (using Friewalds)
homar1,Maternal Homa-R at 16 wks
betar1,Beta R at 16 wks
homar2,Maternal Homa-R at 28 wks
betar2,Beta-R at 28 wks
hhomar,Fathers Homa-R
hbetar,Fathers Beta-R
nhomar1,Normalized maternal Homa-R at 16 wks (logged)
nhomar2,Normalized maternal Homa-R at 28 wks (logged)
nhhomar,Normalized Fathers Homa-R (logged)
nbetar1,normalized beta-r at 1st visit (logged)
nbetar2,normalized beta-r at 2nd visit (logged)
nhbetar,normalized husbands beta-r (logged)
nhinfast,Normalized pat fast insulim
nhin2hr,Normalized pat 2h insulin
pi,pie
nfins1,Normalized fasting insulin  16 wks logged
nfins2,Normalized Fasting Insulin 28 wks logged
nin2hr2,Normalized 2hr insulin 28 wks logged
nvitc1,Normalized vitc at 16 wks logeed(vitac1+1)
nvitc2,Normalized vitamin c at 28 wks  logeed(vitac2+1)
occupati,occupation of head of household:trivedi pareek-q1
caste,caste of the family:  trivedi pareek-q2
educatio,education of head of household:  trivedi pareek-q3
famtype,family type:  trivedi pareek-q4a
famsize,family size:  trivedi pareek-q4b
famfeatu,distinctive features: trivedi pareek-q4c
farmpowe,farm power: trivedi pareek-q5
animals,milch animals:trivedi pareek-q6
land,family land ownership:trivedi pareek-q7
cart,possess bullck cart?: trivedi pareek-q8a
cycle,possess bicycle?: trivedi pareek-q8b
tape,possess tape?: trivedi pareek-q8c
electr,posess elctricity: trivedi pareek-q8d
wheel,possess two wheeler: trivedi pareek-q8e
iron,possess iron/private well?: trivedi pareek-q8f
housetyp,house type
material,material possession score: trivedi pareek total score
w_ill_fu,mothets literacy status
nsplit2,Normalized split insulin at 28 wks
nproins2,Normalized proinsulin at 28 wks
nhsplit,Normalized husbands split insulin
nhproins,Normalized husbands pro insulin
wtgdel,wt gain after delivery
agedth,age at death
dcl,death code
cmort,mortality code
risk,any risk involved?
risk1_1,age<16 or >30
risk1_2,height < 145
risk1_3,history of infertility
risk2_1,>=2 abortions
risk2_2,stillbirth
