,unlist.var_labels.
f0_f_fg_18_12y,father fasting glucose converted into SI unit (HOMA2 model) at 12y
f0_f_fi_18_12y,father fasting insulin converted into SI unit (HOMA2 model) at 12y
f0_f_homab_12y,father HOMA B at 12y
f0_f_homas_12y,father HOMA S at 12y
f0_f_homar_12y,father HOMA IR at 12y
fins2,mother fasting insulin at 2nd visit
f0_m_fg_18_28wks,mother fasting glucose converted into SI unit (HOMA2 model) at 28wks
f0_m_fi_6_28wks,mother fasting insulin converted into SI unit (HOMA2 model) at 28wks
f0_m_homab_28wks,mother HOMA B at 28wks
f0_m_homas_28wks,mother HOMA S at 28wks
f0_m_homar_28wks,mother HOMA IR at 28wks
mgluf_6,mothers fasting glucose (mg%) at 6y
minsf_6,mothers fasting insulin (mu/l) at 6y
f0_m_fg_18_6y,mother fasting glucose converted into SI unit (HOMA2 model) at 6y
f0_m_fi_6_6y,mother fasting insulin converted into SI unit (HOMA2 model) at 6y
f0_m_homab_6y,mother HOMA B at 6y
f0_m_homas_6y,mother HOMA S at 6y
f0_m_homar_6y,mother HOMA IR at 6y
mgluf_i,mother fasting glucose at 12y
minsf_i,mother fasting insulin  at 12y
f0_m_fg_18_12y,mother fasting glucose converted into SI unit (HOMA2 model) at 12y
f0_m_fi_6_12y,mother fasting insulin converted into SI unit (HOMA2 model) at 12y
f0_m_homab_12y,mother HOMA B at 12y
f0_m_homas_12y,mother HOMA S at 12y
f0_m_homar_12y,mother HOMA IR at 12y
LengthZScore,f1 child birth length Z score (using intergrowth model)
WeightZScore,f1 child birth weight Z score (using intergrowth model)
HeadCircumferenceZScore,f1 child birth head circumference Z score (using intergrowth model)
LengthZScore_f2,f2 child birth length Z score (using intergrowth model)
WeightZScore_f2,f2 child birth weight Z score (using intergrowth model)
HeadCircumferenceZScore_f2,f2 child birth head circumference Z score (using intergrowth model)
icmrscr_dt,f1 child followup date at 17y
c_followup_18y,f1 child followup date at 18y
cht_18y,f1 child height at 18y
fdob,father date of birth
f0_f_Diabetic_St,father diabetic status
f0_f_follow_upstatus_baseline,father date of followup at baseline
f0_f_dov_baseline,"father predicted variable using hage,hvisit,fage6,fagei at baseline"
hhead,father head circumference (cm) at baseline
hgl2hr,father 120 min glucose (mg%) level at baseline
f0_f_dov_6,father date of followup at 6y
f0_f_follow_upstatus_6y,father date of followup status
fhc6,father head circ(cm) at 6y
fglu2h_6,father 120 min glucose (mg%) at 6y
fftdxp_9,father  total (bmc+tissue) fat% at 6y
fsyst6,father systolic blood pressure (mmhg) at 6y
fdia6,father diastolic blood pressure (mmhg) at 6y
fpulse6,father pulse(/min) at 6y
f0_f_dov_12,father date of followup at 12y
f0_f_follow_upstatus_12y,father date of followup status at 12y
mother_24yr_loss,mother expire/death status
f0_m_Diabetic_St,mother diabetic status
mhc6,mothers head circ(cm) at 6y
f0_f_status_24,father expire/death status
bw,f1 child Birth weight (gm)
mdob,mother date of birth
d2,mother date of followup pre pregnancy
f0_m_followup_status_28wks,mother followup status pre pregnancy
f0_m_followup_status_6,mother followup status 6y
f0_m_followup_status_12,mother followup status 12y
f0_m_dov_12,mother date of  followup 12y
f0_m_sys_bp_12,mother systolic blood pressure at 12y
f0_m_dia_bp_12,mother diastolic blood pressure at 12y
f0_m_pulse_12,mother pulse at 12y
mother_st_24yr,"mother glucose test (OGTT,Fasting,Known diabetes) 24y"
f0_m_dov_6,mother date of followup at 6y
mglu2h_6,mother 2h glucose (mg%) at 6y
mftdxp_9,mother total (bmc+tissue) fat% at 6y
cen_dt6_copy,mother date of followup at 6y
mage6,mother age at 6y
pmns2dt_copy,mother date of followup at 12y
magei,mothers age at 12y
fintst,father status at 12y
fdtdth,father date of death reporrted at 12y
frdth,father death reason reported at 12y
father_st_24yr,"father glucose test (OGTT,Fasting,Known diabetes) 24y"
pmns2dt,f1 child date of followup at 24y
fagei,father age at 12y
cen_dt6,f1 child  date of followup at 6y
fage6,fathers age at 6y
fagedx6,father age by dexa scan at 6y
f1_c_ldl_6y,f1 child LDL at 6y
f1_c_age_mon_12,f1 child age (months) at 12y
cwt_i,f1 child weight (kg) 12y
cht_i,f1 child height (cm) 12y
f1_c_age_mon_6,f1 child age (months) at 12y
cwt6,f1 child weight(kg) at 6y
cht6,f1 child height(cm) at 6y
f1_c_fastglu_6_HOMA2,f1 child fasting glucose converted into SI unit (HOMA2 model) at 6y
f1_c_fastins_6_HOMA2,f1 child fasting insulin converted into SI unit (HOMA2 model) at 6y
f1_c_homaB_6,f1 child HOMA B at 6y
f1_c_homaS_6,f1 child HOMA S at 6y
f1_c_homaIR_6,f1 child HOMA IR at 6y
f1_c_fastglu_12_HOMA2,f1 child fasting glucose converted into SI unit (HOMA2 model) at 12y
f1_c_fastins_12_HOMA2,f1 child fasting insulin converted into SI unit (HOMA2 model) at 12y
f1_c_homaB_12,f1 child HOMA B at 12y
f1_c_homaS_12,f1 child HOMA S at 12y
f1_c_homaIR_12,f1 child HOMA IR at 12y
f1_c_fastglu_18_HOMA2,f1 child fasting glucose converted into SI unit (HOMA2 model) at 18y
f1_c_fastins_18_HOMA2,f1 child fasting insulin converted into SI unit (HOMA2 model) at 18y
f1_c_homaB_18,f1 child HOMA B at 18y
f1_c_homaS_18,f1 child HOMA S at 18y
f1_c_homaIR_18,f1 child HOMA IR at 18y
f0_m_BMI_2cate_28wks,mother BMI status ( < 25 & >= 25) at 28wks
f0_m_BMI_3cate_28wks,mother BMI category at 28wks
f0_m_BMI_2cate_6y,mother BMI status ( < 25 & >= 25) at 6y
f0_m_BMI_3cate_6y,mother BMI category at 6y
f0_m_BMI_2cate_12y,mother BMI status ( < 25 & >= 25) at 12y
f0_m_BMI_3cate_12y,mother BMI category at 12y
f0_f_BMI_2cate_baseline,father BMI status ( < 25 & >= 25) at baseline
f0_f_BMI_3cate_baseline,father BMI category at basline
f0_f_BMI_2cate_6y,father BMI status ( < 25 & >= 25) at 6y
f0_f_BMI_3cate_6y,father BMI category at 6y
f0_f_BMI_2cate_12y,father BMI status ( < 25 & >= 25) at 12y
f0_f_BMI_3cate_12y,father BMI category at 12y
cB12_cate_for_18y,f1 child PIS combined group category &  Placebo+Excluded 18y
csfol_6,f1 child serum folate (nmol/L) at 6y
cb12_6,f1 child b12 (pmol/L) at 6y
chcy_6yr,f1 child plasma homocysteine (micromol/L) on HPLC System at 6y
cSFOL_i,f1 child serum folate at 12y
cb12_i,f1 child b12 at 12y
chcy_i,f1 child homocysteine at 12y
cage_scr,f1 child age at 17y
cfolate_scr,f1 child folate at (nmol/L) 17y
cb12_scr,f1 child b12 at (pmol/L) 17y
CHOLO_TC_scr,f1 child holo TC at 17y
chcy_scr,f1 child homocysteine (micromol/l) at 17y
cage18y,f1 child age at 18y
cfol_18y,f1 child folate at (nmol/L) 18y
cb12_18y,f1 child b12 at (pmol/L) 18y
CHOLO_TC_18yr,f1 child holo TC at 18y
chcy_18y1,f1 child homocysteine (micromol/l) at 18y
d1,mother date of followup at 18wks
f0_f_age_derived_int,father derived age variable f0 fa using f0 mo visit date 18 wks at baseline
hage,father age at baseline
derived_h_age,father derived age at baseline
g1_sex,f2 child sex of the baby
village,village
hamname,hamlet name
villnumber,village number
hamlet,hamlet number
popn_area,Child population area
sliscore_18y,socio economic score by sli at 18y
cdob,childs date of birth
f_dob,fathers date of birth
c_followup_6y,f1 child followup status at 6y
c_followup_12y,f1 child followup status at 12y
pmns2,f1 child followup status at by data entry 12y
c_followup_17y,f1 child followup status at 17y
date_18y,f1 child date of followup at 18y
gad_18y,f1 child GAD at 18y
cgad_18y,f1 child GAD at 18y
f0_f_glu_test_int,father derived variable for glucose test using intial visit at baseline
hb12,father vitamin B12 (pM) at baseline
hhcy,father  homocysteine (micromol/L) at baseline
comm_hhcy,father any comment on total homocysteine at baseline
comment_f_glu_int,father derived variable for glucose value cross check at baseline
hhb,father hb value (gm%) at baseline
hin2hr,father 120 min insulin (pmol/L) at baseline
hproins,father pro insulin (pmol/L) at baseline
hsplit,father split insulin (pmol/L) at baseline
hwbc,father wbc at baseline
hrbc,father rbc at baseline
hhct,father haematocrit at baseline
hplt,father platelet count at baseline
hly_perc,father ly% at baseline
hly_no,father ly# at baseline
hmalb,father microalbumen at baseline
hb1,mother hb (gm%) at 18wks
hct1,mother haematcrit at 18wks
fins1,mother fasting insulin (pmol/L) at 18wks
proins1,mother pro insulin (pmol/L) at 18wks
split1,mother split insulin (pmol/L) at 18wks
rcf1,mother red cell folate (ng/mL) at 18wks
fer1,mother ferritin (microgm/L) at 18wks
vitc1,mother serum vitamin c (micromol/l) at 18wks
vitac1,mother VITC1+1 at 18wks
chol1,mother cholesterol (mg%) at 18wks
tg1,mother triglyceride (mg%) at 18wks
hdlchol1,mother HDL (mg%) at 18wks
urac1,mother uric acid at 18wks
creat1,mother creatinine (mg%) at 18wks
urcreat1,mother urine creatinine (mg%) at 18wks
ur5oxo1,mother urine 5oxoproline at 18wks
opcr1,mother ratio of urine oxoproline/creatinie at 18wks
alb1,mother serum albumen at 18wks
nefa1,mother nonesterified fatty acid at 18wks
wbc1,mother wbc at 18wks
rbc1,mother rbc at 18wks
ly_no1,mother lymphocite # at 18wks
ly_perc1,mother lymphocite % at 18wks
plt1,mother platelet count at 18wks
malb1,mother micro albumen at 18wks
b12_v1,mother b12 (pmol/L) at 18 wks
fol_v1,mother serum folate at 18 wks
thcy_v1,mother homocysteine (micromol/L) at 18 wks
tcys_v1,mother total cysteine at 18 wks
cysta_v1,mother cystathionine at 18 wks
met_v1,mother methionine visit 18 wks
mma_v1,mother mma at 18 wks
hb2,mother hb at 28wks
hct2,mother haematocrit at 28wks
in2hr2,mother 120 min insulin at 28wks
proins2,mother pro insulin at 28wks
split2,mother split insulin at 28wks
rcf2,mother red cell folate at 28wks
fer2,mother ferritin at 28wks
vitc2,mother serum vitamin c (micromol/l) at 28wks
vitac2,mother vitc2+1 at 28wks
chol2,mother cholesterol at 28wks
tg2,mother triglyceride at 28wks
hdlchol2,mother HDL at 28wks
urac2,mother uric acid at 28wks
creat2,mother Serum Creatinine at 28wks
urcreat2,mother Urine creatinine at 28wks
ur5oxo2,mother Urine 5oxoproline at 28wks
opcr2,mother Ratio of urine oxoproline/creatinie at 28wks
alb2,mother Serum Albumin at 28wks
nefa2,mother Nonesterified fatty acid at 28wks
wbc2,mother WBC at 28wks
rbc2,mother RBC at 28wks
ly_no2,mother WOMENS LYMPHOCITE # at 28wks
ly_perc2,mother WOMENS LYMPHOCITE % at 28wks
plt2,mother platelet count at 28wks
malb2,mother Microalbumen at 28wks
blood_gr,mother blood group
b12_v2,mother b12 b12 at 28wks (pmol/L)
fol_v2,mother S folate at 28wks
thcy_v2,mother homocysteine at 28wks (micromol/L)
tcys_v2,mother total cysteine at 28wks
cysta_v2,mother cystathionine at 28wks
met_v2,mother methionine at 28wks
mma_v2,mother mma at 28wks
vitd32,mother 25-OH-vitmin D (nM/L) at 28wks
crp_2,mother  CRP ng/ml at 28wks
cwt_18y,f1 child weight at 18y (kg)
cbmi_18y,f1 child BMI at 18y(kg/m2)
cwbc_18y,f1 child White blood cells at 18y
cly_18y,f1 child Lymphocyte percents at 18y
cmo_18y,f1 child Monocyte percents at 18y
cgr_18y,f1 child Granulocyte percents at 18y
clyno_18y,f1 child Lymphocyte counts at 18y
cmono_18y,f1 child Monocyte counts at 18y
cgrno_18y,f1 child Granulocyte counts at 18y
crbc_18y,f1 child Red blood cells at 18y
chb_18y,f1 child Hemoglobin at 18y
chct_18y,f1 child Hematocrit at 18y
cmcv_18y,f1 child Mean corpuscular volume at 18y
cmch_18y,f1 child Mean corpuscular hemoglobin at 18y
cmchc_18y,f1 child Mean corpuscular hemoglobin concentration at 18y
crdw_18y,f1 child Red cell distribution width at 18y
cplt_18y,f1 child Platelet count at 18y
cmpv_18y,f1 child Mean platelet volume at 18y
cpct_18y,f1 child Plateletcrit at 18y
cpdw_18y,f1 child Platelet distribution width at 18y
cghb_18y,f1 child HBA1C (%)  at 18y
alt_18y,f1 child ALT at 18y
cfolate_18y,f1 child Folate at 18y
chcy_18y,f1 child homocysteine at 18y
comment_CHOLO_TC_18yr,f1 child any comment on holo TC at 18y
ccyst_18y,f1 child cysteine at 18y
cb6_18y,f1 child B6-pyridoxal-5-phosphate at 18y
cb6pyx_18y,f1 child pyridoxal at 18y
cglut_18y,f1 child glutathione at 18y
cb2_18y,f1 child vitamin B2 18y
cgluf5_18y,f1 child Fasting (-5 min) glucose (mg%)  at  18y
cleptin_18y,f1 child Leptin (ng/ml) at 18y
crbc_gsh_f18,f1 child Fasting RBC GSH at 18y
crbcgsh_hb_f18,f1 child Fasting RBC GSH Hb at 18y
hmwadip_18y,f1 child High molecular weighty adiponectin (microgm/ml) at 18y
totaladip_18y,f1 child Total adiponectin (microgm/ml) at 18y
ccu_18y,f1 child copper (microgm/dl) at 18y
cferritin_18y,f1 child ferritin (ng/ml) at 18y
ct4_18y,f1 child Free T4 (ng/dl) at 18y
ctsh_18y,f1 child TSH (microIU/ml) at 18y
ciron_18y,f1 child  iron (micromol/L) at 18y
cwbc_scr,f1 child White blood cells at 17y
cly_scr,f1 child Lymphocyte % at 17y
cmo_scr,f1 child Monocyte % at 17y
cgr_scr,f1 child Granulocyte % at 17y
clyno_scr,f1 child Lymphocyte  count at 17y
cmono_scr,f1 child Monocyte count at 17y
cgrno_scr,f1 child Granulocyte count at 17y
crbc_scr,f1 child Red blood cells at 17y
chb_scr,f1 child Hemoglobin at 17y
chct_scr,f1 child Hematocrit at 17y
cmcv_scr,f1 child Mean corpuscular volume at 17y
cmch_scr,f1 child Mean corpuscular hematocrit at 17y
cmchc_scr,f1 child Mean corpuscular hematocrit concentration at 17y
crdw_scr,f1 child Red cell distribution width at 17y
cplt_scr,f1 child Platelet count at 17y
cmpv_scr,f1 child Mean platelet volume at 17y
cpct_scr,f1 child Plateletcrit count at 17y
cpdw_scr,f1 child Platelet distribution width at 17y
crandglu_scr,f1 child Childs Random glucose at 17y
c_hpylori_scr_nov,f1 child H.Pylori (NTU/ml)  Novatec at 17y
f1_c_hpylori_17y,f1 child H.Pylori (NTU/ml)  Novatec at 17y
ctrthy_scr,f1 child transthyritin (ng/ml) at 17y
ctotaladip_scr,f1 child Total adiponectin (microgm/ml) at 17y
chmwadip_scr,f1 child High molecular weight adiponectin (microgm/ml) at 17y
cleptin_scr,f1 child leptin (ng/ml) at 17y
comment_CHOLO_TC_scr,f1 child any comment on holo TC at 17y
ccyst_scr,f1 child cysteine (micromol/l) at 17y
cglut_scr,f1 child glutathione (micromol/l) at 17y
ccholine_scr,f1 child child choline (micromol/l) at 17y
cb6_scr,f1 child B6-pyridoxal-5-phosphate (microgm/l) at 17y
cb6pyx_scr,f1 child pyridoxal: (microgm/l) at 17y
cwbc_i,f1 child wbc count at 12y
cly_i,f1 child lymphocyte at 12y
cmo_i,f1 child monocyte at 12y
cgr_i,f1 child granulocyte at 12y
clyno_i,f1 child lymphocyte no at 12y
cmono_i,f1 child monocyte no at 12y
cgrno_i,f1 child granulocyte at 12y
crbc_i,f1 child rbc  at 12y
chb_i,f1 child hb at 12y
chct_i,f1 child haematocrete at 12y
cmcv_i,f1 child mcv at 12y
cmch_i,f1 child mch- at 12y
cmchc_i,f1 child mchc- at 12y
crdw_i,f1 child rdw at 12y
cplt_i,f1 child platelet at 12y
cmpv_i,f1 child mpv at 12y
cpct_i,f1 child pct at 12y
cpdw_i,f1 child pdw at 12y
f1_c_hpylori_12y,f1 child H.Pylori (NTU/ml)  Novatec at 12y
ciron_i,f1 child iron at 12y
comment_ciron_i,f1 child any comment on child iron at 12y
cferritin_i,f1 child ferritin at 12y
comment_cferritin_i,f1 child any comment on child ferritin at 12y
ccrp_i,f1 child crp (ng/ml) at 12y
clept_i,f1 child leprin (ng/ml) at 12y
ctotaladip_i,f1 child total adiponectin (µg/ml) at 12y
mpmns2,mother followup status at 12y
mintst,mother status at 12y
mdtdth,mother date of death reporrted at 12y
mrdth,mother death reason reported at 12y
mblcd,mother blood collection status at 12y
mwbc_i,mother wbc count at 12y
mly_i,mother lymphocyte at 12y
mmo_i,mother monocyte at 12y
mgr_i,mother granulocyte  at 12y
mlyno_i,mother lymphocyte no at 12y
mmono_i,mother monocyte no at 12y
mgrno_i,mother granulocyte at 12y
mrbc_i,mother rbc at 12y
mhb_i,mother hb at 12y
mhct_i,mother haematocrete at 12y
mmcv_i,mother mcv at 12y
mmch_i,mother mch at 12y
mmchc_i,mother mchc at 12y
mrdw_i,mother rdw at 12y
mplt_i,mother platelet at 12y
mmpv_i,mother mpv at 12y
mpct_i,mother pct at 12y
mpdw_i,mother pdw at 12y
mchol_i,mother total cholesterol (mg%) at 12y
mhdl_i,mother total hdl cholesterol (mg%) at 12y
mtg_i,mother triglycerides (mg%) at 12y
mldl_i,mother ldl cholesterol using freiwald eqn  at 12y
mcreat_i,mother creatinine (mg%) at 12y
mb12_i,mother b12 (pmol/l) at 12y
mSFOL_i,mother serum folate (nmol/l)  at 12y
mhcy_i,mother homocystein (MICRM/L) at 12y
fpmns2,father followup status at 12y
fblcd,father blood collection status at 12y
fwbc_i,father wbc count at 12y
fly_i,father lymphocyte at 12y
fmo_i,father monocyte at 12y
fgr_i,father granulocyte  at 12y
flyno_i,father lymphocyte no at 12y
fmono_i,father monocyte no at 12y
fgrno_i,father granulocyte no at 12y
