"","Family_status2","B12_category","Genus_mod","total_abundance","percent"
"76","Girls","B12_sufficient","Blautia",0.245450911806186,0.987835447030705
"77","Girls","B12_sufficient","Other",11.6587664515306,46.9215725650607
"78","Girls",NA,"Gemmiger",0,0
"79","Girls",NA,"Faecalibacterium",0.00639253628196268,0.639253628196268
"80","Girls",NA,"Segatella",0,0
"81","Girls",NA,"Agathobacter",0.0837940566689703,8.37940566689703
"82","Girls",NA,"Romboutsia",0.00224602626123013,0.224602626123013
"83","Girls",NA,"Clostridium",0.00846579129232896,0.846579129232896
"84","Girls",NA,"Escherichia-Shigella",0,0
"85","Girls",NA,"Bifidobacterium",0.0186592950932965,1.86592950932965
"86","Girls",NA,"Ruminococcus",0,0
"87","Girls",NA,"Blautia",0.00881133379405667,0.881133379405667
"88","Girls",NA,"Other",0.871630960608155,87.1630960608155
"89","Mother","B12_deficient","Gemmiger",0.427946951050352,2.22440278445007
"90","Mother","B12_deficient","Faecalibacterium",1.61719296558262,8.4059216377307
"91","Mother","B12_deficient","Segatella",2.4674460753516,12.8254072310161
"92","Mother","B12_deficient","Agathobacter",1.70033833838502,8.83809856602021
"93","Mother","B12_deficient","Romboutsia",0.85572985918,4.44795289889351
"94","Mother","B12_deficient","Clostridium",0.725424638768678,3.77064629722264
"95","Mother","B12_deficient","Escherichia-Shigella",0.00199282582702272,0.0103584037873698
"96","Mother","B12_deficient","Bifidobacterium",0.471857770781072,2.4526445079552
"97","Mother","B12_deficient","Ruminococcus",0.879507167184917,4.57154370846243
"98","Mother","B12_deficient","Blautia",0.789814966924652,4.10533737257733
"99","Mother","B12_deficient","Other",9.30148317201021,48.3476865918844
"100","Mother","B12_sufficient","Gemmiger",0.761275973027689,3.02293647861999
"101","Mother","B12_sufficient","Faecalibacterium",2.2082607023752,8.76874099278869
"102","Mother","B12_sufficient","Segatella",3.37947139804759,13.4194795705701
"103","Mother","B12_sufficient","Agathobacter",2.38865518493015,9.48506605909587
"104","Mother","B12_sufficient","Romboutsia",0.803358886735051,3.19004273112216
"105","Mother","B12_sufficient","Clostridium",0.459325672711359,1.82392769613304
"106","Mother","B12_sufficient","Escherichia-Shigella",0.00714558612075052,0.0283742738650072
"107","Mother","B12_sufficient","Bifidobacterium",1.03496011777467,4.10970371427195
"108","Mother","B12_sufficient","Ruminococcus",1.4247952785418,5.65769284027159
"109","Mother","B12_sufficient","Blautia",1.5499487677374,6.15466248245178
"110","Mother","B12_sufficient","Other",11.1661292538448,44.3393731608098
"111","Mother",NA,"Gemmiger",0.00579174368453481,0.592760751671081
"112","Mother",NA,"Faecalibacterium",0.104497843499692,10.6949173918527
"113","Mother",NA,"Segatella",0.0707332101047443,7.23924832891916
"114","Mother",NA,"Agathobacter",0.0396796056685151,4.06104174549124
"115","Mother",NA,"Romboutsia",0,0
"116","Mother",NA,"Clostridium",0,0
"117","Mother",NA,"Escherichia-Shigella",0,0
"118","Mother",NA,"Bifidobacterium",0,0
"119","Mother",NA,"Ruminococcus",0.0151571164510166,1.55126749905411
"120","Mother",NA,"Blautia",0.0574245224892175,5.87715979316433
"121","Mother",NA,"Other",0.683795440542206,69.9836044898474
