"","Family_status2","B12_category","Family_mod","total_abundance","percent"
"71","Girls","B12_sufficient","Enterobacteriaceae",4.40508542215729,17.1457297066687
"72","Girls","B12_sufficient","Clostridiaceae",1.70338875281171,6.63002878313905
"73","Girls","B12_sufficient","Bifidobacteriaceae",0.837986286062778,3.26165896499034
"74","Girls","B12_sufficient","Lactobacillaceae",1.85724979242449,7.22889567101336
"75","Girls","B12_sufficient","Oscillospiraceae",0.548804770280681,2.13608984870827
"76","Girls","B12_sufficient","Bacteroidaceae",1.10915959642042,4.31713549665262
"77","Girls","B12_sufficient","Other",4.29804411751824,16.7290973145796
"78","Girls",NA,"Lachnospiraceae",0.144436765722184,14.4436765722184
"79","Girls",NA,"Ruminococcaceae",0.00639253628196268,0.639253628196268
"80","Girls",NA,"Prevotellaceae",0,0
"81","Girls",NA,"Peptostreptococcaceae",0.00224602626123013,0.224602626123013
"82","Girls",NA,"Enterobacteriaceae",0.703524533517623,70.3524533517623
"83","Girls",NA,"Clostridiaceae",0.00846579129232896,0.846579129232896
"84","Girls",NA,"Bifidobacteriaceae",0.0186592950932965,1.86592950932965
"85","Girls",NA,"Lactobacillaceae",0,0
"86","Girls",NA,"Oscillospiraceae",0.00328265376641327,0.328265376641327
"87","Girls",NA,"Bacteroidaceae",0.00414651002073255,0.414651002073255
"88","Girls",NA,"Other",0.108845888044229,10.8845888044229
"89","Mother","B12_deficient","Lachnospiraceae",6.34511857621442,30.9233469582841
"90","Mother","B12_deficient","Ruminococcaceae",3.58730086335596,17.4829434483936
"91","Mother","B12_deficient","Prevotellaceae",2.80395738812149,13.665268210142
"92","Mother","B12_deficient","Peptostreptococcaceae",0.893972237908261,4.35683168909413
"93","Mother","B12_deficient","Enterobacteriaceae",0.295263395633447,1.43898531092567
"94","Mother","B12_deficient","Clostridiaceae",0.830238552554578,4.04622143942754
"95","Mother","B12_deficient","Bifidobacteriaceae",0.471857770781072,2.29962945302923
"96","Mother","B12_deficient","Lactobacillaceae",0.10138068384869,0.494085338810413
"97","Mother","B12_deficient","Oscillospiraceae",1.10664866515753,5.39332405258297
"98","Mother","B12_deficient","Bacteroidaceae",0.383228098229612,1.8676869948722
"99","Mother","B12_deficient","Other",3.69989475945199,18.0316771044382
"100","Mother","B12_sufficient","Lachnospiraceae",8.54957682687766,32.5556030945328
"101","Mother","B12_sufficient","Ruminococcaceae",5.13737104710785,19.5623966128003
"102","Mother","B12_sufficient","Prevotellaceae",3.68953769164545,14.0492479480291
"103","Mother","B12_sufficient","Peptostreptococcaceae",0.853103409513382,3.24849949431395
"104","Mother","B12_sufficient","Enterobacteriaceae",0.0491637339982908,0.187208682149251
"105","Mother","B12_sufficient","Clostridiaceae",0.463145117155804,1.76359238762485
"106","Mother","B12_sufficient","Bifidobacteriaceae",1.03496011777467,3.94098462359196
"107","Mother","B12_sufficient","Lactobacillaceae",0.837559856215672,3.18931179858518
"108","Mother","B12_sufficient","Oscillospiraceae",0.859908927374612,3.274413962694
"109","Mother","B12_sufficient","Bacteroidaceae",0.655680863403998,2.49674181282921
"110","Mother","B12_sufficient","Other",4.13145284648609,15.7319995828495
"111","Mother",NA,"Lachnospiraceae",0.255329636475662,25.6976311546571
"112","Mother",NA,"Ruminococcaceae",0.13875539125077,13.9650254247799
"113","Mother",NA,"Prevotellaceae",0.0817005545286506,8.22274587622473
"114","Mother",NA,"Peptostreptococcaceae",0,0
"115","Mother",NA,"Enterobacteriaceae",0,0
"116","Mother",NA,"Clostridiaceae",0,0
"117","Mother",NA,"Bifidobacteriaceae",0,0
"118","Mother",NA,"Lactobacillaceae",0,0
"119","Mother",NA,"Oscillospiraceae",0.0565619223659889,5.69267022200174
"120","Mother",NA,"Bacteroidaceae",0,0
"121","Mother",NA,"Other",0.46124460874923,46.4219273223366
